LLM,Intervention,Budget,pre score,post score
ChatGPT 5,disaster,54,0.621997738,0.558059486
ChatGPT 5,disaster,54,0.623259264,0.516770044
ChatGPT 5,disaster,54,0.669175972,0.550478124
ChatGPT 5,disaster,54,0.726376737,0.512040562
ChatGPT 5,disaster,54,0.641899375,0.571067669
ChatGPT 5,disaster,54,0.679932123,0.530558164
ChatGPT 5,disaster,54,0.695337129,0.5421726
ChatGPT 5,disaster,54,0.66420321,0.568034114
ChatGPT 5,disaster,54,0.646523986,0.519970222
ChatGPT 5,disaster,54,0.608455172,0.515954512
ChatGPT 5,disaster,54,0.581353406,0.529321963
ChatGPT 5,disaster,54,0.604221765,0.515015391
ChatGPT 5,disaster,54,0.640064688,0.511389792
ChatGPT 5,disaster,54,0.68688,0.535733004
ChatGPT 5,disaster,54,0.565235217,0.513519367
ChatGPT 5,disaster,54,0.580524508,0.564678955
ChatGPT 5,disaster,54,0.65056351,0.498906614
ChatGPT 5,disaster,54,0.647801695,0.515748802
ChatGPT 5,disaster,54,0.598507237,0.498607491
ChatGPT 5,disaster,108,0.632296424,0.577388574
ChatGPT 5,disaster,108,0.628212171,0.540029128
ChatGPT 5,disaster,108,0.658014958,0.468825028
ChatGPT 5,disaster,108,0.606355403,0.560306502
ChatGPT 5,disaster,108,0.655338315,0.550834215
ChatGPT 5,disaster,108,0.643653215,0.566869424
ChatGPT 5,disaster,108,0.697414472,0.52463216
ChatGPT 5,disaster,108,0.62750308,0.512495996
ChatGPT 5,disaster,108,0.673429615,0.565693268
ChatGPT 5,disaster,108,0.615227905,0.56978738
ChatGPT 5,disaster,108,0.657247023,0.541266047
ChatGPT 5,disaster,108,0.71142509,0.545626412
ChatGPT 5,disaster,108,0.657142909,0.572759615
ChatGPT 5,disaster,108,0.600775205,0.582385495
ChatGPT 5,disaster,108,0.636130841,0.519632681
ChatGPT 5,disaster,108,0.640728951,0.674909557
ChatGPT 5,disaster,108,0.724379084,0.566196991
ChatGPT 5,disaster,108,0.576380282,0.552025621
ChatGPT 5,disaster,108,0.704525432,0.573598066
ChatGPT 5,disaster,108,0.602794365,0.595168748
ChatGPT 5,disaster,108,0.654900804,0.503997483
ChatGPT 5,disaster,108,0.616594497,0.557534582
ChatGPT 5,disaster,108,0.670844229,0.564302212
ChatGPT 5,disaster,108,0.665884679,0.508238185
ChatGPT 5,disaster,108,0.623106025,0.543590715
ChatGPT 5,disaster,108,0.661068367,0.520502447
ChatGPT 5,disaster,108,0.617723285,0.56803759
ChatGPT 5,disaster,108,0.60467615,0.582829829
ChatGPT 5,disaster,108,0.655080296,0.483248177
ChatGPT 5,disaster,108,0.609866189,0.632073203
ChatGPT 5,disaster,108,0.55747682,0.636536741
ChatGPT 5,disaster,108,0.566901435,0.495591657
ChatGPT 5,disaster,108,0.649415229,0.512367904
ChatGPT 5,disaster,108,0.571993535,0.53273904
ChatGPT 5,disaster,108,0.57940967,0.525742381
ChatGPT 5,disaster,108,0.68539362,0.612076918
ChatGPT 5,disaster,108,0.601149572,0.527421878
ChatGPT 5,disaster,108,0.651066075,0.518126895
ChatGPT 5,disaster,108,0.629072669,0.598730646
ChatGPT 5,disaster,108,0.70573987,0.521562952
ChatGPT 5,disaster,108,0.575324519,0.62895521
ChatGPT 5,disaster,108,0.625749857,0.510246844
ChatGPT 5,disaster,108,0.674751147,0.593068365
ChatGPT 5,disaster,108,0.672359283,0.490341854
ChatGPT 5,disaster,108,0.619908477,0.545049125
ChatGPT 5,disaster,108,0.701036632,0.577976519
ChatGPT 5,disaster,108,0.640513862,0.540977234
ChatGPT 5,disaster,108,0.668930132,0.533719362
ChatGPT 5,disaster,108,0.68531201,0.49718396
ChatGPT 5,disaster,108,0.709776325,0.576799185
ChatGPT 5,interpersonal,27,0.744892683,0.488768657
ChatGPT 5,interpersonal,27,0.63994029,0.65212803
ChatGPT 5,interpersonal,27,0.713115066,0.666232338
ChatGPT 5,interpersonal,27,0.644917513,0.497572044
ChatGPT 5,interpersonal,27,0.687423915,0.554013472
ChatGPT 5,interpersonal,27,0.727624748,0.623780544
ChatGPT 5,interpersonal,27,0.682073161,0.575722501
ChatGPT 5,interpersonal,27,0.691551805,0.569363325
ChatGPT 5,interpersonal,27,0.611906039,0.639141017
ChatGPT 5,interpersonal,27,0.634293992,0.60574196
ChatGPT 5,interpersonal,27,0.639458292,0.581659606
ChatGPT 5,interpersonal,27,0.714323224,0.467344674
ChatGPT 5,interpersonal,27,0.723809564,0.593711198
ChatGPT 5,interpersonal,27,0.5932411,0.581482511
ChatGPT 5,interpersonal,27,0.634871974,0.558964941
ChatGPT 5,interpersonal,27,0.642318155,0.571094627
ChatGPT 5,interpersonal,27,0.644982871,0.605152619
ChatGPT 5,interpersonal,27,0.653912706,0.605556054
ChatGPT 5,interpersonal,27,0.755838718,0.630742504
ChatGPT 5,interpersonal,27,0.639269381,0.548714947
ChatGPT 5,interpersonal,27,0.62818628,0.558683728
ChatGPT 5,interpersonal,27,0.734145375,0.527384184
ChatGPT 5,interpersonal,27,0.649064453,0.593502573
ChatGPT 5,interpersonal,27,0.708473882,0.577601241
ChatGPT 5,interpersonal,27,0.652527603,0.556290497
ChatGPT 5,interpersonal,27,0.690470179,0.637956585
ChatGPT 5,interpersonal,27,0.666822656,0.553830549
ChatGPT 5,interpersonal,27,0.62905143,0.580824708
ChatGPT 5,interpersonal,27,0.619245574,0.56782471
ChatGPT 5,interpersonal,27,0.615840287,0.748042927
ChatGPT 5,interpersonal,27,0.595291672,0.557407127
ChatGPT 5,interpersonal,27,0.757719412,0.584356012
ChatGPT 5,interpersonal,27,0.609673189,0.589647019
ChatGPT 5,interpersonal,27,0.665299193,0.6211422
ChatGPT 5,interpersonal,27,0.643154142,0.554515982
ChatGPT 5,interpersonal,27,0.63971487,0.643489189
ChatGPT 5,interpersonal,27,0.698082594,0.411138039
ChatGPT 5,interpersonal,27,0.738257719,0.53603118
ChatGPT 5,interpersonal,27,0.742990465,0.559524817
ChatGPT 5,interpersonal,27,0.671536478,0.5178261
ChatGPT 5,interpersonal,27,0.660133559,0.577778252
ChatGPT 5,interpersonal,27,0.641047827,0.576284652
ChatGPT 5,interpersonal,27,0.656759647,0.592508191
ChatGPT 5,interpersonal,27,0.703377958,0.556110547
ChatGPT 5,interpersonal,27,0.596855649,0.640727886
ChatGPT 5,interpersonal,27,0.70011678,0.581436479
ChatGPT 5,interpersonal,27,0.699506246,0.545834812
ChatGPT 5,interpersonal,27,0.676505415,0.629939684
ChatGPT 5,interpersonal,27,0.646389141,0.54777789
ChatGPT 5,interpersonal,27,0.743995128,0.557694672
ChatGPT 5,interpersonal,54,0.717742076,0.657557662
ChatGPT 5,interpersonal,54,0.619851162,0.66212623
ChatGPT 5,interpersonal,54,0.63016226,0.630285903
ChatGPT 5,interpersonal,54,0.636481642,0.591393678
ChatGPT 5,interpersonal,54,0.684488775,0.489354259
ChatGPT 5,interpersonal,54,0.637836358,0.612318711
ChatGPT 5,interpersonal,54,0.639398163,0.661194227
ChatGPT 5,interpersonal,54,0.612725866,0.647835234
ChatGPT 5,interpersonal,54,0.644176594,0.683192981
ChatGPT 5,interpersonal,54,0.776391134,0.624351059
ChatGPT 5,interpersonal,54,0.553093935,0.640152034
ChatGPT 5,interpersonal,54,0.657757574,0.612175395
ChatGPT 5,interpersonal,54,0.611674917,0.59605892
ChatGPT 5,interpersonal,54,0.633814406,0.676978185
ChatGPT 5,interpersonal,54,0.621338536,0.66548523
ChatGPT 5,interpersonal,54,0.783118826,0.525235374
ChatGPT 5,interpersonal,54,0.636746349,0.647255806
ChatGPT 5,interpersonal,54,0.729593146,0.52975784
ChatGPT 5,interpersonal,54,0.713764376,0.554592208
ChatGPT 5,interpersonal,54,0.704503556,0.568333485
ChatGPT 5,interpersonal,54,0.677582394,0.683394416
ChatGPT 5,interpersonal,54,0.665451039,0.558474395
ChatGPT 5,interpersonal,54,0.761326887,0.592642471
ChatGPT 5,interpersonal,54,0.624418635,0.580553054
ChatGPT 5,interpersonal,54,0.740229062,0.595480951
ChatGPT 5,interpersonal,54,0.531753857,0.659134643
ChatGPT 5,interpersonal,54,0.733271704,0.576589006
ChatGPT 5,interpersonal,54,0.706045227,0.699985328
ChatGPT 5,interpersonal,54,0.673854956,0.789684723
ChatGPT 5,interpersonal,54,0.724166473,0.670617848
ChatGPT 5,interpersonal,54,0.665545841,0.536908828
ChatGPT 5,interpersonal,54,0.725129701,0.616527347
ChatGPT 5,interpersonal,54,0.536744235,0.577639865
ChatGPT 5,interpersonal,54,0.605702833,0.553962893
ChatGPT 5,interpersonal,54,0.67100402,0.553384857
ChatGPT 5,interpersonal,54,0.619830577,0.611759263
ChatGPT 5,interpersonal,54,0.598873506,0.594360145
ChatGPT 5,interpersonal,54,0.60168725,0.578187249
ChatGPT 5,interpersonal,54,0.709087681,0.551149016
ChatGPT 5,interpersonal,54,0.77923313,0.613601822
ChatGPT 5,interpersonal,54,0.718757897,0.57806169
ChatGPT 5,interpersonal,54,0.76724546,0.682247531
ChatGPT 5,interpersonal,54,0.719293297,0.600977504
ChatGPT 5,interpersonal,54,0.619958983,0.546944249
ChatGPT 5,interpersonal,54,0.687858637,0.588360833
ChatGPT 5,interpersonal,54,0.582859523,0.636619124
ChatGPT 5,interpersonal,54,0.790308755,0.624294419
ChatGPT 5,interpersonal,54,0.681644531,0.599257066
ChatGPT 5,interpersonal,54,0.573585625,0.586133181
ChatGPT 5,interpersonal,54,0.612888635,0.587431864
ChatGPT 5,interpersonal,108,0.472052801,0.690828943
ChatGPT 5,interpersonal,108,0.617504393,0.625291171
ChatGPT 5,interpersonal,108,0.651090798,0.616056101
ChatGPT 5,interpersonal,108,0.75589461,0.597181091
ChatGPT 5,interpersonal,108,0.739215928,0.653908843
ChatGPT 5,interpersonal,108,0.738764092,0.540095958
ChatGPT 5,interpersonal,108,0.627769631,0.554486148
ChatGPT 5,interpersonal,108,0.696477189,0.619830231
ChatGPT 5,interpersonal,108,0.74664848,0.579566994
ChatGPT 5,interpersonal,108,0.707065353,0.603414393
ChatGPT 5,interpersonal,108,0.751874905,0.546215909
ChatGPT 5,interpersonal,108,0.659555629,0.615575966
ChatGPT 5,interpersonal,108,0.708604731,0.57731478
ChatGPT 5,interpersonal,108,0.518741651,0.655294489
ChatGPT 5,interpersonal,108,0.632786495,0.677352061
ChatGPT 5,interpersonal,108,0.710710735,0.548587528
ChatGPT 5,interpersonal,108,0.596257554,0.679492907
ChatGPT 5,interpersonal,108,0.787222295,0.600057353
ChatGPT 5,interpersonal,108,0.685788904,0.597591095
ChatGPT 5,interpersonal,108,0.757541998,0.586956725
ChatGPT 5,interpersonal,108,0.691143042,0.492547233
ChatGPT 5,interpersonal,108,0.687346536,0.631956552
ChatGPT 5,interpersonal,108,0.674453681,0.63534448
ChatGPT 5,interpersonal,108,0.738697332,0.686243799
ChatGPT 5,interpersonal,108,0.834224729,0.637217898
ChatGPT 5,interpersonal,108,0.745274466,0.619550268
ChatGPT 5,interpersonal,108,0.556429058,0.548939048
ChatGPT 5,interpersonal,108,0.64180692,0.605174586
ChatGPT 5,interpersonal,108,0.658451706,0.665655761
ChatGPT 5,interpersonal,108,0.654541345,0.69903664
ChatGPT 5,interpersonal,108,0.739603385,0.472837582
ChatGPT 5,interpersonal,108,0.761879674,0.52686044
ChatGPT 5,interpersonal,108,0.636955092,0.599812274
ChatGPT 5,interpersonal,108,0.615270975,0.636114775
ChatGPT 5,interpersonal,108,0.633786058,0.591108743
ChatGPT 5,interpersonal,108,0.657829616,0.609481092
ChatGPT 5,interpersonal,108,0.635938146,0.640477826
ChatGPT 5,interpersonal,108,0.716052077,0.595985894
ChatGPT 5,interpersonal,108,0.71980812,0.481163129
ChatGPT 5,interpersonal,108,0.706674999,0.612563104
ChatGPT 5,interpersonal,108,0.683794853,0.588882904
ChatGPT 5,interpersonal,108,0.573003274,0.569829103
ChatGPT 5,interpersonal,108,0.636058232,0.531853019
ChatGPT 5,interpersonal,108,0.769168728,0.647616765
ChatGPT 5,interpersonal,108,0.753940319,0.608262197
ChatGPT 5,interpersonal,108,0.60172267,0.720747078
ChatGPT 5,interpersonal,108,0.526346295,0.571968769
ChatGPT 5,interpersonal,108,0.753814023,0.675580028
ChatGPT 5,interpersonal,108,0.601411539,0.67393747
ChatGPT 5,interpersonal,108,0.73300494,0.60815286
ChatGPT 5,accident,27,0.613576618,0.603176003
ChatGPT 5,accident,27,0.686109928,0.557311395
ChatGPT 5,accident,27,0.603012774,0.575107938
ChatGPT 5,accident,27,0.687339599,0.491228674
ChatGPT 5,accident,27,0.519808824,0.537017961
ChatGPT 5,accident,27,0.786556079,0.554612929
ChatGPT 5,accident,27,0.583581503,0.614800289
ChatGPT 5,accident,27,0.605802644,0.498198213
ChatGPT 5,accident,27,0.794073774,0.531501014
ChatGPT 5,accident,27,0.620493291,0.483023706
ChatGPT 5,accident,27,0.655335624,0.480884097
ChatGPT 5,accident,27,0.456951436,0.479847108
ChatGPT 5,accident,27,0.571462422,0.558845007
ChatGPT 5,accident,27,0.656699845,0.478683894
ChatGPT 5,accident,27,0.610997984,0.43886345
ChatGPT 5,accident,27,0.611052449,0.398539009
ChatGPT 5,accident,27,0.633515873,0.556875345
ChatGPT 5,accident,27,0.636372833,0.606397152
ChatGPT 5,accident,27,0.683574601,0.562193448
ChatGPT 5,accident,27,0.684254093,0.428762721
ChatGPT 5,accident,27,0.684393111,0.635417429
ChatGPT 5,accident,27,0.61274562,0.541105242
ChatGPT 5,accident,27,0.715379122,0.584594675
ChatGPT 5,accident,27,0.640847124,0.584700282
ChatGPT 5,accident,27,0.74298508,0.582286837
ChatGPT 5,accident,27,0.600355209,0.5125396
ChatGPT 5,accident,27,0.689944787,0.569104376
ChatGPT 5,accident,27,0.682202958,0.598811478
ChatGPT 5,accident,27,0.758306783,0.608403642
ChatGPT 5,accident,27,0.699125938,0.538689591
ChatGPT 5,accident,27,0.599422162,0.52443809
ChatGPT 5,accident,27,0.641746544,0.496412577
ChatGPT 5,accident,27,0.641425504,0.572203784
ChatGPT 5,accident,27,0.66718331,0.474546662
ChatGPT 5,accident,27,0.706211813,0.561468563
ChatGPT 5,accident,27,0.624664481,0.537402104
ChatGPT 5,accident,27,0.616725576,0.548022592
ChatGPT 5,accident,27,0.739077612,0.567910577
ChatGPT 5,accident,27,0.60940256,0.580567722
ChatGPT 5,accident,27,0.795653046,0.500420537
ChatGPT 5,accident,27,0.638280684,0.493928825
ChatGPT 5,accident,27,0.644928238,0.493347585
ChatGPT 5,accident,27,0.563259157,0.577549203
ChatGPT 5,accident,27,0.627206964,0.527523768
ChatGPT 5,accident,27,0.661167566,0.512670943
ChatGPT 5,accident,27,0.658015126,0.654125616
ChatGPT 5,accident,27,0.74257303,0.513969786
ChatGPT 5,accident,27,0.846849215,0.534110452
ChatGPT 5,accident,27,0.670536279,0.558928253
ChatGPT 5,accident,27,0.578813207,0.528929852
ChatGPT 5,accident,54,0.735233009,0.391882362
ChatGPT 5,accident,54,0.697561658,0.594044607
ChatGPT 5,accident,54,0.664465554,0.524205971
ChatGPT 5,accident,54,0.729888041,0.482782854
ChatGPT 5,accident,54,0.681698517,0.526450611
ChatGPT 5,accident,54,0.636644601,0.537468623
ChatGPT 5,accident,54,0.731420739,0.511187567
ChatGPT 5,accident,54,0.656455512,0.469450574
ChatGPT 5,accident,54,0.701605731,0.526736568
ChatGPT 5,accident,54,0.642065757,0.550012156
ChatGPT 5,accident,54,0.552418453,0.592523139
ChatGPT 5,accident,54,0.649051942,0.620091682
ChatGPT 5,accident,54,0.676626393,0.580590801
ChatGPT 5,accident,54,0.601299731,0.513065296
ChatGPT 5,accident,54,0.661516738,0.489202713
ChatGPT 5,accident,54,0.633932942,0.480278698
ChatGPT 5,accident,54,0.662760859,0.45773207
ChatGPT 5,accident,54,0.63702448,0.491603346
ChatGPT 5,accident,54,0.71787453,0.511673192
